utt_id,speaker_id,wav_path,label,split,duration,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,f0_mean,f0_std,voiced_ratio
03-01-04-01-02-01-01,1,data/raw/Actor_01/03-01-04-01-02-01-01.wav,sad,train,3.503,-504.5974426,81.78969574,111.821312,57.16166687,-11.7656765,38.41579437,35.72838593,20.66346169,-4.013096333,23.99106216,-3.799247026,14.69399261,-16.19132614,19.71688271,-27.44605064,11.83725071,-16.70402145,13.90944099,-0.930601716,12.85629368,-6.423108578,9.310206413,-2.053463936,11.30145168,-11.47301769,7.882378101,0.003976361,0.002106806,0.117904974,0.107703834,1510.438371,918.6691883,1418.503372,418.91292,2877.55102,1459.325928,113.4419605,9.889494323,0.87755102
03-01-04-01-02-02-01,1,data/raw/Actor_01/03-01-04-01-02-02-01.wav,sad,train,3.37,-481.945282,78.66731262,107.2062912,61.30632782,-6.123208523,36.05389786,37.60942841,26.00049591,-6.064581871,21.1812191,1.88815248,17.16666603,-14.02736759,19.63433075,-29.79075241,14.78033352,-17.58912468,12.88091755,-5.433686256,13.73216152,-9.803574562,10.23498154,0.752165139,10.17873478,-15.5040741,6.994553566,0.005260613,0.002595717,0.127119348,0.119803982,1568.549421,1022.259352,1383.396073,364.2863392,2843.417553,1476.385235,116.180602,15.92962415,0.914893617
03-01-04-02-01-01-01,1,data/raw/Actor_01/03-01-04-02-01-01-01.wav,sad,train,3.804,-478.2469482,70.70058441,103.114624,60.28931427,-6.330582619,35.52054977,34.10771179,26.69030762,-5.6458354,22.24346161,-4.951714993,16.55459595,-16.71956825,15.24054813,-24.88645744,15.59778309,-11.71166515,10.56912327,-5.104411125,13.33816528,-10.02089787,12.89794445,-0.893350065,9.545783997,-16.68348694,8.490779877,0.005934103,0.002985487,0.118562826,0.098092916,1596.512589,1043.772555,1428.761995,437.058204,2927.604167,1636.96011,124.6410777,9.313508582,0.933333333
03-01-04-02-01-02-01,1,data/raw/Actor_01/03-01-04-02-01-02-01.wav,sad,train,3.704,-423.825592,75.52005768,89.48316956,55.54358673,-11.3220892,38.42866898,23.46161079,21.56536102,-4.078223705,25.8359108,-15.61884785,18.67059517,-19.8776989,15.56659698,-29.2909832,17.2127552,-20.61187172,11.28341866,-0.576337099,12.98246098,-20.3038578,13.11409092,4.48067379,13.63742065,-20.51592445,10.26863194,0.010488943,0.006763099,0.120410156,0.081051243,1725.794621,969.9397945,1579.261069,404.7502677,3280.965909,1543.130629,144.9909855,23.57149878,0.945454545
03-01-04-02-02-01-01,1,data/raw/Actor_01/03-01-04-02-02-01-01.wav,sad,train,3.737,-416.3777771,79.87825775,92.14606476,60.65623474,-12.22801685,38.73223877,27.73009682,22.75999451,-4.600021839,23.59544754,-12.04271221,20.89563179,-19.99199867,22.31268692,-38.13987732,17.97543526,-22.08878708,11.35395527,-1.843583107,11.46694756,-18.59224319,11.52637577,3.588756084,13.07017231,-18.57190132,10.03073597,0.010462712,0.005835574,0.129857113,0.132123466,1708.370005,1075.441571,1481.528578,378.7734631,3139.528509,1506.207344,144.774033,22.09688628,0.929824561
03-01-04-02-02-02-01,1,data/raw/Actor_01/03-01-04-02-02-02-01.wav,sad,train,3.737,-381.9568176,70.13187408,83.30636597,56.23754501,-10.11235142,32.48173141,23.88694,23.53721046,-8.79825592,22.41077423,-12.43681812,17.56619453,-22.69250298,21.5365448,-33.72965622,18.5627327,-20.03346634,10.87402058,-0.581619501,14.20059776,-17.0109005,10.6641283,3.46330452,13.66888428,-19.91724777,14.00451469,0.012709773,0.005682117,0.143451891,0.132841148,1849.107094,1081.735778,1561.451901,311.5151471,3398.300439,1402.741031,144.7723405,19.87740178,0.964912281
03-01-05-01-01-01-01,1,data/raw/Actor_01/03-01-05-01-01-01-01.wav,angry,train,3.871,-345.5465088,91.39032745,67.72564697,59.28271866,-6.547904968,37.50260544,18.17860031,31.31951141,-11.59194279,28.73331642,-7.384913445,20.38594437,-5.977875233,17.71152115,-18.5786953,15.24178314,-20.44731712,17.26745605,2.399353981,16.3116684,-13.84256554,11.58805943,1.353752613,10.1469202,-15.11304379,13.69298363,0.017899545,0.011292442,0.160284324,0.116947479,2090.741709,1086.135096,1656.942512,320.0916321,3780.609631,1511.570925,166.8697043,33.36237657,0.606557377
03-01-05-01-01-02-01,1,data/raw/Actor_01/03-01-05-01-01-02-01.wav,angry,train,3.937,-333.7477112,91.11629486,61.69446564,52.06345749,-10.29079628,39.74616623,13.1237402,34.41617203,-16.12099075,31.30235291,-7.771550655,18.73967171,-18.88480568,19.44668961,-21.11968803,13.42391014,-20.70860672,17.07657623,-5.639828205,13.45934486,-16.54092407,10.76241875,-2.756349564,9.463802338,-16.05093956,15.47055817,0.018980527,0.010379885,0.158368389,0.104224792,2114.020558,998.6641558,1710.544914,369.2264896,3901.442308,1500.20074,206.9244527,54.71137956,0.784615385
03-01-05-01-02-01-01,1,data/raw/Actor_01/03-01-05-01-02-01-01.wav,angry,train,3.503,-355.2336731,77.87579346,80.34077454,64.54588318,-1.980738521,37.38468552,19.03632545,27.65450096,-11.79590321,29.76304436,-8.406421661,16.38694954,-17.00899506,19.41120148,-27.56601524,16.17302895,-21.2406559,11.33256149,-5.401277065,14.70524311,-14.2689743,11.76571178,0.020755615,9.574482918,-18.18897629,11.71813774,0.015303744,0.008851693,0.163916016,0.156117933,1971.733116,1250.36212,1596.899427,367.5883745,3520.46875,1757.592271,139.5803023,15.92938017,0.36
03-01-05-01-02-02-01,1,data/raw/Actor_01/03-01-05-01-02-02-01.wav,angry,train,3.737,-328.1977234,84.60315704,72.46884918,68.06604767,-8.688632011,38.90153122,15.42657089,25.03659821,-13.4368515,29.75994301,-8.450407982,18.4277401,-13.76034927,21.14702988,-29.44086456,18.01182175,-23.0554142,12.33516407,-2.909492016,16.08820534,-16.84212112,13.07088184,3.727938414,12.29245377,-20.32038879,9.669205666,0.022367444,0.013690853,0.18013295,0.166491139,2122.800667,1302.276555,1592.886123,359.4840869,3749.04057,1631.001216,164.6310275,26.47458801,0.719298246
03-01-05-02-01-01-01,1,data/raw/Actor_01/03-01-05-02-01-01-01.wav,angry,train,4.104,-162.076828,90.84416199,31.48511887,41.55372238,-34.45061874,29.619524,-8.448760986,25.74987602,-27.66173935,33.08961105,-12.82779694,14.51952934,-29.53052902,19.28927612,-18.82661438,12.53970814,-24.42455673,11.7239151,-8.102002144,13.13106441,-15.46816635,12.19303131,-8.165801048,10.99149704,-18.5381279,8.582410812,0.107240446,0.06121197,0.165490353,0.072274888,2322.447127,772.514067,1802.120713,282.4490835,4300.544508,1266.998106,340.7917472,50.13153498,0.893939394
03-01-05-02-01-02-01,1,data/raw/Actor_01/03-01-05-02-01-02-01.wav,angry,train,4.371,-277.573761,115.5880966,17.87768364,53.61760712,-23.29162979,26.05831146,0.291550279,26.0387516,-16.60601807,30.59642029,-11.80570602,17.49431038,-17.44113541,18.03622055,-17.13115501,12.46384239,-21.12598801,13.30408573,-2.66189003,16.29953194,-16.236269,11.90914726,-1.448403239,9.078970909,-9.963303566,12.74251842,0.045350239,0.042436276,0.250575302,0.164593381,2699.692844,1110.909554,1836.874762,245.6728952,4681.543936,1464.851804,503.661088,546.2078011,0.782178218
03-01-05-02-02-01-01,1,data/raw/Actor_01/03-01-05-02-02-01-01.wav,angry,train,4.138,-216.7845306,92.79961395,36.95163727,62.04253769,-19.11834717,34.38405609,1.65275228,22.1617527,-20.66085625,34.70328903,-13.26737499,21.24293327,-13.36984158,18.55777359,-20.71505928,15.01720905,-22.6400032,13.85156727,-0.711353242,13.55732918,-18.27900505,9.102252007,1.40737474,9.248734474,-16.39203453,11.95273399,0.06366948,0.043676667,0.225593225,0.184011169,2487.830827,1234.671602,1733.637779,263.5141889,4220.149254,1493.41496,254.5003191,55.24144179,0.686567164
03-01-05-02-02-02-01,1,data/raw/Actor_01/03-01-05-02-02-02-01.wav,angry,train,4.438,-117.9318695,85.61478424,25.29068756,39.82609177,-35.93579865,31.4885788,-10.89655304,25.155159,-22.57029152,31.24905586,-22.44224739,16.60982895,-29.60037804,17.64762497,-21.68026733,12.4023695,-27.41561127,12.37952709,-0.056932498,15.30953884,-20.49320984,11.26534843,-6.268665791,11.38264179,-12.80354786,11.88634014,0.171689525,0.104873195,0.202039217,0.139155819,2435.412929,825.8125058,1847.223459,222.631042,4530.119243,1097.93,357.8965049,47.9283959,0.855263158
03-01-03-01-01-01-02,2,data/raw/Actor_02/03-01-03-01-01-01-02.wav,happy,train,3.604,-375.2338257,82.10851288,67.91860962,52.40701294,-47.35928726,41.63180161,15.72551918,27.3954792,-34.78168488,23.08902359,-1.695022345,21.47049713,-31.70755959,15.46469021,-12.26610374,14.71939278,-11.81388378,14.26399422,-8.59926796,11.74384117,-10.39256763,14.36974525,-13.7422781,12.09980679,-5.421644211,6.928544521,0.015300133,0.010319899,0.143085186,0.081325018,1877.967716,747.2601041,1482.656139,391.7069519,3422.926683,1375.285964,259.1316931,68.4206495,0.807692308
03-01-03-01-01-02-02,2,data/raw/Actor_02/03-01-03-01-01-02-02.wav,happy,train,3.704,-392.1518555,97.74076843,68.75993347,52.52562714,-41.56271744,42.18918228,20.52260971,27.54243088,-34.12108612,23.39782715,-3.609960318,21.97795105,-32.8465004,15.29319191,-10.43998051,13.8120451,-11.68576908,14.62576485,-10.44991207,10.87183762,-8.992531776,13.30526066,-12.35373974,13.1016531,-4.170877934,6.779344082,0.012991654,0.008657565,0.142909459,0.084823678,1895.4966,765.703168,1515.193874,392.1620867,3493.024554,1353.186182,253.2612823,66.03031262,0.803571429
03-01-03-01-02-01-02,2,data/raw/Actor_02/03-01-03-01-02-01-02.wav,happy,train,3.77,-399.2394714,102.5669632,67.17851257,48.75847626,-45.1999054,50.49456024,7.428893566,29.16670418,-30.87435532,25.34300423,-9.854165077,23.96196747,-37.82767487,14.64799881,-14.92634106,11.68237495,-10.3386097,14.39512825,-12.55789089,8.423576355,-10.13987637,16.92370987,-15.99231815,11.16332817,-4.074448586,8.463270187,0.013989792,0.010065777,0.155298693,0.138917056,1952.304775,1092.636847,1516.187755,462.1593044,3528.15194,1631.24431,238.8954457,50.90873257,0.948275862
03-01-03-01-02-02-02,2,data/raw/Actor_02/03-01-03-01-02-02-02.wav,happy,train,3.737,-392.9326782,95.36554718,72.98693848,49.43764496,-38.72011566,48.37332916,10.81943798,30.23729706,-29.18506241,26.32481384,-10.40394497,23.42193031,-36.3667717,14.97252464,-10.22434521,15.51679707,-7.620911598,13.43909454,-9.578009605,10.5272913,-10.37727833,16.93445778,-12.39618683,12.6537199,-5.16111517,9.72898674,0.013761112,0.010017544,0.149028577,0.126111916,1894.826088,1025.274305,1531.802937,455.4898911,3453.262061,1581.162188,247.9748819,52.16510625,0.859649123
03-01-03-02-01-01-02,2,data/raw/Actor_02/03-01-03-02-01-01-02.wav,happy,train,3.704,-295.0311279,80.45000458,45.31277847,38.3552475,-62.14644241,44.26695251,11.07632542,27.98036766,-46.80023575,26.05382347,-10.0193882,22.8248291,-36.70666122,12.68850803,-13.29500484,13.42679405,-17.27328682,16.21797943,-17.34641266,10.54693222,-8.221673012,14.50839424,-21.59413719,13.32867432,-4.763972759,7.555550098,0.037556257,0.028095016,0.130042443,0.059227725,1928.064209,584.3932459,1518.613364,290.446502,3659.104567,1006.305509,291.639141,80.97726275,0.884615385
03-01-03-02-01-02-02,2,data/raw/Actor_02/03-01-03-02-01-02-02.wav,happy,train,3.67,-292.4679565,86.32453918,50.16266251,40.57921219,-59.71395874,44.30170822,12.87639999,27.91846657,-44.36348724,25.38419151,-12.21602917,22.55130005,-33.40750885,12.16440201,-14.33481312,11.91233826,-16.00504875,16.89007759,-13.9537487,9.45841217,-6.356808662,16.06391907,-18.49744987,13.67588615,-0.490261793,10.42116261,0.03735359,0.029267428,0.135603995,0.066190983,1934.663294,632.1996019,1513.55668,325.0644335,3608.785377,1110.216397,292.5092432,92.87300765,0.830188679
03-01-03-02-02-01-02,2,data/raw/Actor_02/03-01-03-02-02-01-02.wav,happy,train,3.704,-343.0544128,106.9996109,58.30278397,44.27516556,-47.36951065,49.90730286,8.986763,30.31393814,-34.45942688,24.87039566,-18.80003929,19.6121273,-36.59275055,15.35924625,-14.27893829,14.24546432,-8.139131546,14.40755463,-20.21896172,8.597130775,-9.630289078,16.11679077,-20.86533928,12.78276062,-3.618203163,10.83014584,0.024928754,0.017540576,0.136461293,0.097827303,1861.632602,866.5339641,1510.969305,449.5784615,3431.107955,1519.654095,253.7982242,56.23005597,0.945454545
03-01-03-02-02-02-02,2,data/raw/Actor_02/03-01-03-02-02-02-02.wav,happy,train,3.871,-341.9344177,108.6715622,53.03206635,45.56495667,-46.6841774,51.00180435,7.678270817,29.66897964,-36.05370331,28.53655624,-15.48781395,20.32238579,-34.5447731,13.80036926,-16.61127281,14.18850899,-14.35760307,16.40654182,-19.17374802,10.47063065,-8.82097435,15.83911705,-20.40294647,12.2351656,-3.032337666,10.50218487,0.026532857,0.018908778,0.156062826,0.145696533,1951.980409,1017.076698,1551.122829,433.1386763,3575,1631.298017,267.1503774,72.47249097,0.9
03-01-04-01-01-01-02,2,data/raw/Actor_02/03-01-04-01-01-01-02.wav,sad,train,3.837,-498.6420898,89.50692749,71.3507843,50.60628891,-23.94006538,30.0656662,10.11016273,26.43008232,-23.58334541,21.36123085,-4.086526394,15.99564075,-26.3091774,17.43951607,-10.71278572,11.89077854,-11.91789913,14.45702171,-4.199175358,9.44806385,-15.86596298,10.10920811,-2.384767294,9.679558754,-4.457726955,7.393908024,0.005771942,0.003199897,0.138511783,0.110553679,1794.659356,984.8813227,1496.814044,407.8161513,3142.802254,1657.264693,235.6420597,35.18939301,0.918032787
03-01-04-01-01-02-02,2,data/raw/Actor_02/03-01-04-01-01-02-02.wav,sad,train,3.77,-471.0202026,76.1052475,81.45223999,54.28051758,-25.25951195,35.1803093,11.86155224,24.71594238,-23.3779583,21.34252167,-2.835508347,16.35066795,-25.35168076,18.72568512,-14.26788807,10.97137165,-9.059153557,15.57644367,-4.338962078,11.13639641,-13.11359692,9.907776833,-3.79777503,9.155897141,-5.347318649,7.284695148,0.006498918,0.004340476,0.134086997,0.098872402,1756.550424,927.2490586,1475.051732,453.9519647,3134.533898,1616.528851,240.4670556,36.24801076,0.898305085
03-01-04-01-02-01-02,2,data/raw/Actor_02/03-01-04-01-02-01-02.wav,sad,train,3.737,-500.4956055,73.65617371,73.10767365,44.73669815,-14.70207024,39.02090836,6.172796726,25.87836266,-19.33638382,20.90830994,-10.89325237,14.88536072,-33.30136108,13.8469286,-11.6612711,11.63867664,-9.991855621,14.86969757,-9.775997162,8.013249397,-12.81167412,12.43457031,-8.207696915,10.00169849,-5.650023937,6.38036108,0.006788949,0.004845495,0.132341351,0.136980109,1695.902983,1118.886295,1481.592526,438.8965708,2968.887061,1676.254902,218.9780669,21.107539,1
03-01-04-01-02-02-02,2,data/raw/Actor_02/03-01-04-01-02-02-02.wav,sad,train,3.77,-513.222229,84.54007721,70.98477936,47.87727737,-16.1090374,41.93613052,11.64178181,24.51281357,-17.30030251,18.99330902,-6.850107193,13.1933012,-26.00465202,12.64893627,-12.39424038,10.48345757,-5.562613964,13.90586853,-6.572969913,7.596182346,-12.54878712,10.46793461,-5.90203476,11.34723091,-6.659576416,5.063838959,0.006016643,0.004805743,0.140211202,0.150106686,1748.571475,1171.222434,1487.867342,415.4999288,3095.338983,1689.433491,222.3638811,19.15373206,0.966101695
03-01-04-02-01-01-02,2,data/raw/Actor_02/03-01-04-02-01-01-02.wav,sad,train,3.737,-473.0878601,78.37174988,71.52439117,58.05241776,-25.66575432,39.49314499,5.64798975,27.24727631,-31.13176537,23.91382599,-10.35961056,16.32682228,-36.19672775,20.68580055,-20.11886406,10.63049793,-15.59440899,16.10673714,-10.10165691,10.87145138,-9.537968636,12.11137772,-8.104403496,13.96525478,1.00018084,12.29844189,0.005840175,0.004986464,0.144096236,0.088870781,1911.672182,932.2597906,1555.621433,444.2537023,3506.107955,1646.767917,293.2982944,30.69623174,0.745454545
03-01-04-02-01-02-02,2,data/raw/Actor_02/03-01-04-02-01-02-02.wav,sad,train,3.77,-485.0438538,95.37477112,82.99004364,55.76852798,-17.91647339,36.40966415,9.60547924,29.34464836,-22.09483337,21.09512711,-11.97630787,15.81298542,-32.7698555,22.87665367,-18.21633911,10.32478428,-12.89887238,13.04988766,-7.334084511,10.13322258,-12.64869785,7.619485378,-6.473211765,12.58833694,-6.699101448,7.733990192,0.005035467,0.003608953,0.141825013,0.102066731,1787.171951,984.9386963,1515.828946,467.0796022,3243.379237,1746.624183,242.5256975,66.61947344,0.830508475
03-01-04-02-02-01-02,2,data/raw/Actor_02/03-01-04-02-02-01-02.wav,sad,train,3.704,-470.6844788,87.31817627,72.24477386,57.096035,-19.43056297,45.31469727,1.726576686,30.07411003,-22.49158287,21.56708908,-13.63874912,13.87266254,-39.07038498,19.12866974,-24.20728874,12.36406517,-15.95982552,12.65008926,-12.05419636,10.25115299,-14.10748863,13.45331955,-13.0641737,11.56710052,-5.50146389,8.911826134,0.007701512,0.005557517,0.138445173,0.14256818,1832.716849,1158.681637,1532.301834,452.9035751,3256.55692,1747.976434,256.949868,26.88290167,0.892857143
03-01-04-02-02-02-02,2,data/raw/Actor_02/03-01-04-02-02-02-02.wav,sad,train,3.67,-473.1636353,93.51703644,69.29173279,62.50439835,-12.85384941,43.39646912,4.921972752,29.88101959,-24.17848778,21.49447441,-17.73432922,15.74140835,-37.09120941,16.1682682,-20.2633152,12.3042345,-12.26773739,12.95345879,-13.48720837,10.06820774,-11.73057747,11.12961006,-11.66778278,15.06883335,-4.933096886,5.894165039,0.006497866,0.004422148,0.178780692,0.165380708,2035.337599,1268.461819,1568.670049,454.1811042,3587.611607,1851.963156,277.9571534,20.00038295,0.785714286
03-01-05-01-01-01-02,2,data/raw/Actor_02/03-01-05-01-01-01-02.wav,angry,train,3.67,-366.2835693,80.60617065,73.75001526,60.10211563,-26.40493965,34.9978447,9.287353516,26.77091789,-27.64487267,24.78680229,-2.698030233,22.62322617,-27.20546913,25.80965614,-13.73725033,11.10065079,-10.44737625,17.98096657,-3.769668102,12.14438534,-11.00977421,11.11180115,-6.213105679,12.01844025,-4.313433647,8.654260635,0.014967367,0.008939631,0.141583807,0.087135774,1943.561979,968.3712304,1512.677704,455.37027,3462.357955,1674.203913,252.8880249,68.75906395,0.818181818
03-01-05-01-01-02-02,2,data/raw/Actor_02/03-01-05-01-01-02-02.wav,angry,train,3.67,-362.7453918,73.19572449,55.54917145,56.71298218,-30.39443398,34.34883499,11.17262745,29.16574287,-27.68900871,23.19676018,-2.846832991,21.14136887,-26.72716331,20.28224945,-8.701301575,11.78246307,-7.500686169,17.06419563,-1.384688735,12.08809662,-8.287530899,10.96728706,-3.948137999,11.77451229,-5.582646847,8.076862335,0.014187084,0.010588595,0.17828566,0.107627139,2214.272628,957.3607384,1587.062183,415.2386175,3902.469758,1628.815589,269.4797321,58.27418372,0.661290323
03-01-05-01-02-01-02,2,data/raw/Actor_02/03-01-05-01-02-01-02.wav,angry,train,3.77,-363.9875488,98.48104095,66.35644531,66.93807983,-26.66629219,46.76412964,1.263399005,33.48539352,-27.87450409,29.92969894,-3.617299557,18.82983971,-28.88015175,17.47994804,-14.95536613,14.17134476,-10.10331059,16.74663544,-8.446451187,9.307455063,-11.43637466,12.01187134,-9.547025681,10.53004837,-4.712385654,7.40214777,0.016565751,0.009817594,0.177883342,0.178658453,2172.119058,1320.674938,1552.566872,470.8243756,3719.279661,1865.949569,252.5850786,41.89306589,0.677966102
03-01-05-01-02-02-02,2,data/raw/Actor_02/03-01-05-01-02-02-02.wav,angry,train,3.804,-360.9375916,87.71644592,59.88076019,56.43976212,-31.80839729,49.10670853,3.253498554,33.2725029,-34.24148941,27.98079491,-2.758124828,20.05141449,-29.38488579,19.24224663,-16.5545311,15.42695236,-12.64067745,15.93010712,-7.916164875,8.316984177,-11.83701611,12.67361927,-12.18981075,11.47998238,-1.757531881,6.843109608,0.016297227,0.011094573,0.177684719,0.159448878,2210.743443,1188.907623,1591.386984,413.1758998,3814.486229,1671.993547,244.4475102,37.67052296,0.644067797
03-01-05-02-01-01-02,2,data/raw/Actor_02/03-01-05-02-01-01-02.wav,angry,train,3.904,-260.6496887,78.79724884,40.9972229,52.6215477,-45.95875931,41.40965271,2.355966091,32.89770126,-43.12451172,29.11902237,1.941416502,19.87528419,-31.20404816,27.6088829,-9.859173775,13.13192844,-11.47158432,18.14553452,-6.039327621,11.32825565,-10.29853821,12.37833691,-10.82785225,14.94560719,-4.94966507,11.79806805,0.05056135,0.032067604,0.191038038,0.094563882,2263.520459,866.152708,1531.94104,375.4682427,3816.342213,1477.523163,357.2102324,67.09114912,0.721311475
